stage_id,name,description,priority,depends_on,status,verified,commit,notes,phase
S00,Brand + legal clearance,"USPTO/EUIPO classes 9 and 42 for 'Ibex Cairn'; coexistence opinion vs IBEX Limited (NASDAQ:IBEX), Ibexa AS and Reg 5985152; acquire ibexcairn.com; GitHub org + npm scope; Azure Marketplace name check",P1,,in_progress,no,,"Screening done (docs/legal/S00-trademark-screening.md): domains/org/npm all free BUT live US Reg 5985152 'IBEX' covers Classes 9+42 for software integrating and automating separate software systems - our exact category. Needs an attorney opinion before any brand spend. Renaming is still nearly free",Foundation
S01,Upstream licence review,"Read LICENSE and usage terms of Azure/logicapps-migration-agent; formal opinion on commercial redistribution of a fork; decide fork vs hybrid fallback",P0,,done,no,b784146,"RESOLVED: verbatim MIT, no rider or field-of-use restriction. Commercial fork permitted, ADR-0001 Accepted, S02 released. verified=no until counsel glance + transitive dependency licence scan land. See docs/legal/S01-upstream-licence-review.md",Foundation
S02,Headless core extraction,"Fork upstream; lift src/parsers/** and src/ir/** into a standalone TS library with zero vscode imports; strip Microsoft telemetry deps; sever the proprietary ms-azuretools.vscode-azurelogicapps extensionDependency; ship THIRD-PARTY-NOTICES; prove a CLI emits valid ir.json from a real BizTalk project",P0,"S01,S03",in_progress,no,,"SPIKE DONE (docs/specs/002-headless-extraction.md): extraction is mechanical. 16 of 18 vscode-coupled parser files use only CancellationToken; ParserPluginLoader deletes; ir/ has 1 coupled file; telemetry isolated to 1 file. 26451 of 63460 lines lift. Upstream does not clone on Windows without core.longpaths. Extraction itself needs the S03 scaffold",Foundation
S03,Repo scaffold + CI,"TS monorepo layout, build, lint, unit test harness, GitHub Actions with Windows build agents; fixture corpus of sample BizTalk artefacts; no vscode dependency in core packages",P0,,done,no,670677c,"Spec 001 step 1 built. pnpm workspace, 4 packages (core-types/rates/cost/cli), tsc project refs, vitest, eslint type-checked, prettier. install+build+test+lint+help all green locally on Windows; vscode guard proven to fail on a planted import. verified=no until CI confirms the ubuntu matrix leg. BizTalk fixture corpus deferred to S02/S05 (no parser yet to consume it)",Foundation
S04,LLM provider abstraction,"ILlmProvider interface; Claude API implementation server-side; VS Code LM API as optional local provider; port the 13 upstream skill Markdown files as prompt assets",P0,S03,done,no,3549b61,"Built packages/llm: ILlmProvider, ClaudeProvider (Anthropic Messages API, injectable fetch), FakeLlmProvider, SkillLoader with folded-scalar frontmatter parser. 13 BizTalk skills ported from upstream (MIT, NOTICE included). 22 tests green (llm: 10); no network in tests. VS Code LM provider intentionally lives in the editor client, not packages/ (headless guard). verified=no until ubuntu CI leg observed",Foundation
S05,Ingest engine,"Engine 0: accept GitHub repo / folder / zip / MSI; MSI decomposition; platform auto-detection; normalised workspace; artefact inventory with parse-error reporting",P0,"S02,S03",todo,no,,"Case workspaces hold customer source - must never be committed",Assessment
S06,IR extension,"Add targetPlan layer (chosen composition, rejected alternatives + eliminating constraint, cost curve, confidence) and volumetrics annotations; schema validation; versioning strategy",P0,S02,todo,no,,"See ADR-0002. Do not let targetPlan become Logic-Apps-shaped",Assessment
S07,Dependency graph + flow grouping,"Engine 1a: build the artefact dependency graph; detect logical flow groups; resolve cross-application references",P0,"S05,S06",todo,no,,"This graph is also the as-is diagram source - see S16",Assessment
S08,Complexity + gap scoring,"Engine 1b: per-flow complexity score; severity-ranked gap list; flag convoys, correlation sets, compensation and custom assemblies for human review",P0,S07,todo,no,,"Gaps are a product surface, not an internal log. See docs/06-hard-problems.md",Assessment
S09,Volumetrics harvester,"Read BizTalkDTADb tracking and BizTalkMsgBoxDb subscriptions: messages/month per flow, avg + p95 size, hourly peakiness, duration, retry/suspend rates. Manual-entry model with measured|assumed tagging",P0,S03,todo,no,,"Reads a BizTalk database directly, so not blocked by ingest or by S01. Code cannot reveal traffic. Manual path must be genuinely good, not a downgrade",Assessment
S10,Disposition engine,"Label every artefact retire | reuse | lift | encapsulate | remain | stay | migrate | rewrite | blocked with 12-month traffic evidence attached; detect duplicate maps and dead ports; consume the portability tier from S38",P0,"S07,S09,S38",todo,no,,"Cheapest migration is the one you don't do. Runs before placement. Vocabulary spans the portability ladder - ADR-0008",Assessment
S11,Archetype classifier,"Declarative YAML policy classifying flows into the 11 archetypes; LLM fallback for ambiguous flows only; emit candidate compositions (trigger + compute + state + exposure)",P0,"S07,S04",todo,no,,"Policy is versioned and customer-tunable; overrides feed back as training signal",Assessment
S12,Rate card client,"Azure Retail Prices API client (per region, per SKU); caching; offline fixture snapshots; regression suite with one fixture per billing rule",P0,S03,done,no,bb7f42e,"Spec 001 step 2 built. Meter catalogue with drift tripwires, HttpRetailClient with pagination, LiveRateCard (TTL cache) + FixtureRateCard, reproducible capture script. Real eastus fixture captured from the live API (11 meters; connector prices exact, WS1 derived $182.32). 12 tests green incl. offline drift detection; no test touches the network. Drift detection proven live (caught a 2-row Functions meter). verified=no until ubuntu CI leg observed. Per-billing-rule fixtures land in S13",Assessment
S13,Cost model + crossover engine,"cost(placement, volume, rate_card) as a pure function; executions, actions per execution, connector-call class, storage transactions, duration, egress; cost curves across volume decades; crossover threshold detection",P0,S12,todo,no,,"Spec 001 step 3. Takes volumetrics and placement as arguments, so needs neither S09 nor S11 to build or test. LLM never produces a number - see ADR-0004. Standard includes built-in connectors; Consumption meters every action",Assessment
S14,Constraint filter,"Hard filters applied after classification: message size >256KB, ordering/sessions, VNet, latency SLO, transactionality, EDI, adapter availability, custom .NET, data residency; framework-target coupling (Logic Apps local functions 4.7.2 vs Functions isolated worker 4.8)",P0,"S11,S38",todo,no,,"Constraints override price. Retarget decision is coupled to the placement decision - ADR-0008",Assessment
